Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,7252,1,11,13.998652675540342,6.684130003122846,204.50793800046085,105.00689464975179,24.21224429645017,0.0033386988825772437,11,12,14,15,19,25,41,64,140,200,200
POST,POST /api/v1/auth/login,50,0,4500,4232.032573659817,1799.4620419995044,6830.325986000389,2282.0,0.16693494412886217,0.0,4500,5100,5400,5500,5900,6000,6800,6800,6800,6800,6800
,Aggregated,7302,1,11,42.881382893181446,6.684130003122846,6830.325986000389,119.91372226787182,24.379179240579035,0.0033386988825772437,11,12,14,15,19,27,54,96,5600,6800,6800
