Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,7111,0,11,28.84825971044155,7.724218001385452,1368.0236590007553,105.0,23.80334607175165,0.0,11,13,15,16,24,66,300,540,1000,1400,1400
POST,POST /api/v1/auth/login,50,0,8300.0,7776.5873185602695,1479.1623179989983,10173.422135001601,2086.0,0.16736989222156975,0.0,8400,8800,8900,9000,9300,9700,10000,10000,10000,10000,10000
,Aggregated,7161,0,11,82.94502733262988,7.724218001385452,10173.422135001601,118.8318670576735,23.97071596397322,0.0,11,13,15,16,25,85,450,860,9200,10000,10000
