Method,Name,Error,Occurrences
GET,GET /api/v1/reservas/{id},"CatchResponseError('HTTP esperado 200, recibido 500')",22
GET,GET /api/v1/reservas,"CatchResponseError('HTTP esperado 200, recibido 500')",75
GET,GET /api/v1/reservas/{id},"CatchResponseError('HTTP esperado 200, recibido 401')",16929
GET,GET /api/v1/reservas,"CatchResponseError('HTTP esperado 200, recibido 401')",50079
