Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,66687,50154,6,15.174162929380142,3.0246599999372847,3100.7544840031187,383.6453881566122,18.528956843404362,13.935269265735485,6,9,12,13,19,29,71,150,1300,2400,3100
GET,GET /api/v1/reservas/{id},22448,16951,6,15.427688983012427,2.973108996229712,2978.505055005371,274.3241268709907,6.2371680120674355,4.70982871403043,6,9,11,12,18,28,71,160,1500,2700,3000
POST,POST /api/v1/auth/login,50,0,11000.0,10507.990802440036,3431.4602550002746,14965.051127997867,2282.0,0.013892480426023333,0.0,11000,12000,13000,13000,13000,14000,15000,15000,15000,15000,15000
,Aggregated,89185,67105,6,21.120588727748355,2.973108996229712,14965.051127997867,357.1933396871671,24.78001733589782,18.645097979765914,6,9,12,13,18,29,73,160,1900,13000,15000
