Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,7162,0,11,13.717957807050592,7.850366000639042,342.3086130023876,105.0,24.039423662000672,0.0,11,13,14,15,19,24,34,45,130,340,340
POST,POST /api/v1/auth/login,50,0,7400.0,6819.235225999581,782.1183559972269,9519.473765001749,2086.0,0.167826191440943,0.0,7500,7900,8200,8400,8800,9000,9500,9500,9500,9500,9500
,Aggregated,7212,0,11,60.89985789158011,7.850366000639042,9519.473765001749,118.73405435385469,24.207249853441617,0.0,11,13,14,15,19,25,40,89,8700,9500,9500
