reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T21:53:16.972446285Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-38","level":"WARN","level_value":30000,"trace_id":"4c7b184632d3fd2ec1b27cc5d40ce6c2","span_id":"b17b2d3e23d92a55","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T21:53:16.987364016Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-38","level":"ERROR","level_value":40000,"trace_id":"4c7b184632d3fd2ec1b27cc5d40ce6c2","span_id":"b17b2d3e23d92a55","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T21:53:16.975906894Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-44","level":"WARN","level_value":30000,"trace_id":"2b2a5fc37d06eae1417780958b4d411a","span_id":"813fa33e2f1575a2","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T21:53:16.989605793Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-44","level":"ERROR","level_value":40000,"trace_id":"2b2a5fc37d06eae1417780958b4d411a","span_id":"813fa33e2f1575a2","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T21:53:16.981953745Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-22","level":"WARN","level_value":30000,"trace_id":"c310b9a0d32fec34fcdb83eab0118c84","span_id":"46f7176cb6ce8820","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T21:53:16.991109696Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-22","level":"ERROR","level_value":40000,"trace_id":"c310b9a0d32fec34fcdb83eab0118c84","span_id":"46f7176cb6ce8820","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T21:53:16.983900768Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-56","level":"WARN","level_value":30000,"trace_id":"8cbe5f71c28afa4a3ada5b8c978e8262","span_id":"cdcd684e67055a59","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T21:53:16.994500453Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-56","level":"ERROR","level_value":40000,"trace_id":"8cbe5f71c28afa4a3ada5b8c978e8262","span_id":"cdcd684e67055a59","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T21:53:17.004385324Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-57","level":"WARN","level_value":30000,"trace_id":"c0cebbe9e3d5418560728d6474c82c18","span_id":"44f85c04001816d0","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-10T21:53:17.032098199Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-44","level":"WARN","level_value":30000,"trace_id":"d6ef16dd9ed59b8cf8ec4779058e96b5","span_id":"19ae4a3ea5d1c4c6","service":"reservas-solicitudes-service"}
