Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,66751,50100,6,10.747854781084628,2.8532770011224784,1514.6178169998166,384.85433926083505,18.547261245265314,13.920657194465884,6,9,11,12,17,24,44,73,360,1100,1500
GET,GET /api/v1/reservas/{id},22448,16835,6,10.527770249564549,2.918873000453459,2020.903158998408,275.37464362081255,6.237343566893616,4.677729817741181,6,9,11,12,16,23,44,67,370,1100,2000
POST,POST /api/v1/auth/login,50,0,12000.0,11484.282754039816,4444.353494000097,15679.13872900317,2282.0,0.013892871451562759,0.0,12000,13000,13000,14000,14000,14000,16000,16000,16000,16000,16000
,Aggregated,89249,66935,6,17.120321558296027,2.8532770011224784,15679.13872900317,358.38073255722753,24.798497683610492,18.598387012207066,6,9,11,12,17,24,45,76,600,14000,16000
