Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,7260,10,12,15.904324731119901,7.226738998724613,411.8886559990642,105.06887052341598,24.31531843123132,0.03349217414770154,12,13,14,15,19,26,56,120,330,410,410
POST,POST /api/v1/auth/login,50,0,4600,4485.585614820084,1505.0190820002172,6324.062636002054,2282.0,0.16746087073850768,0.0,4600,5300,5500,5700,5700,5900,6300,6300,6300,6300,6300
,Aggregated,7310,10,12,46.47670017632502,7.226738998724613,6324.062636002054,119.95896032831737,24.482779301969824,0.03349217414770154,12,13,14,15,19,29,87,240,5700,6300,6300
