Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,66358,49951,5,18.507612593937573,2.713090001634555,4013.4272780014726,383.03004912746013,18.43873511006037,13.879762161045022,5,8,12,13,20,32,70,150,2500,3900,4000
GET,GET /api/v1/reservas/{id},22068,16574,5,14.666279743524198,2.969398003187962,4398.173543999292,275.0715515678811,6.131981168944397,4.605376830437033,5,8,11,13,19,30,63,130,1000,4000,4400
POST,POST /api/v1/auth/login,50,0,29000.0,29136.520697379754,27071.878127000673,31281.614393999917,2282.0,0.013893377671162763,0.0,29000,30000,30000,31000,31000,31000,31000,31000,31000,31000,31000
,Aggregated,88476,66525,5,34.004810940340576,2.713090001634555,31281.614393999917,357.1758103892581,24.58460965667593,18.485138991482057,5,8,12,13,19,31,70,150,3800,31000,31000
