reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T01:24:18.910835872Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-85","level":"WARN","level_value":30000,"trace_id":"94523deb0a5117f81bb8b661ec1fb8e0","span_id":"ea2b657f674a9935","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T01:24:18.760344514Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-65","level":"WARN","level_value":30000,"trace_id":"275ba64446675409cb764cc55b658c37","span_id":"fbf2ec12076bb8a0","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T01:24:18.944109605Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-91","level":"WARN","level_value":30000,"trace_id":"fc67f7750aec3fbcaf93d1f931a99a8e","span_id":"9f3e689318859391","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T01:24:19.135527028Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-91","level":"ERROR","level_value":40000,"trace_id":"fc67f7750aec3fbcaf93d1f931a99a8e","span_id":"9f3e689318859391","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T01:24:19.145455273Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-85","level":"ERROR","level_value":40000,"trace_id":"94523deb0a5117f81bb8b661ec1fb8e0","span_id":"ea2b657f674a9935","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T01:24:19.060329299Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-65","level":"ERROR","level_value":40000,"trace_id":"275ba64446675409cb764cc55b658c37","span_id":"fbf2ec12076bb8a0","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T01:24:19.009932655Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-95","level":"WARN","level_value":30000,"trace_id":"a37dc9a23f2124e002727780f72aa732","span_id":"6c7539008c58b390","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T01:24:19.106074195Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-51","level":"WARN","level_value":30000,"trace_id":"1724065796b9defd7516bdc03aa58b49","span_id":"87252e0a3c897cd1","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T01:24:19.109849845Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-53","level":"WARN","level_value":30000,"trace_id":"2107f39c6e45398fe9560e77f98b4c76","span_id":"b3a790cb80bd815d","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T01:24:19.006405763Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-92","level":"WARN","level_value":30000,"trace_id":"9f14b7babac947da52aa05349ee682a3","span_id":"ec9f800b158027d6","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T01:24:19.161001072Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-53","level":"ERROR","level_value":40000,"trace_id":"2107f39c6e45398fe9560e77f98b4c76","span_id":"b3a790cb80bd815d","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T01:24:19.160952735Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-51","level":"ERROR","level_value":40000,"trace_id":"1724065796b9defd7516bdc03aa58b49","span_id":"87252e0a3c897cd1","service":"reservas-solicitudes-service"}
