Method,Name,Error,Occurrences
GET,GET /api/v1/reservas/{id},"CatchResponseError('HTTP esperado 200, recibido 500')",21
GET,GET /api/v1/reservas,"CatchResponseError('HTTP esperado 200, recibido 500')",70
GET,GET /api/v1/reservas/{id},"CatchResponseError('HTTP esperado 200, recibido 401')",16891
GET,GET /api/v1/reservas,"CatchResponseError('HTTP esperado 200, recibido 401')",49977
