Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,7272,31,12,16.20301271234036,6.966568998905132,681.8909690009605,105.21314631463146,24.283079851259046,0.10351697956394808,12,13,13,14,18,25,58,140,420,680,680
POST,POST /api/v1/auth/login,50,0,4700,4576.815483079772,993.0367849992763,7242.552699000953,2282.0,0.16696287026443238,0.0,4700,5500,5700,5900,6300,6700,7200,7200,7200,7200,7200
,Aggregated,7322,31,12,47.34622816144886,6.966568998905132,7242.552699000953,120.0778475826277,24.450042721523477,0.10351697956394808,12,13,14,14,18,28,99,290,6000,7200,7200
