GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
usuarios-service,ec.edu.scli.usuarios.infrastructure.observer,LoggingPerfilEventListener,26,7,0,0,6,3,1,2,1,2
usuarios-service,ec.edu.scli.usuarios.infrastructure.audit,Slf4jAuditLogger,17,7,0,0,7,2,1,2,1,2
usuarios-service,ec.edu.scli.usuarios.infrastructure.observability,HttpRequestsMetricsRegistry,5,30,1,1,1,14,1,3,0,3
usuarios-service,ec.edu.scli.usuarios.infrastructure.observability,HttpMetricsFilter,2,55,1,1,0,12,1,4,0,4
usuarios-service,ec.edu.scli.usuarios.presentation.controller,AdministradorController,0,47,0,0,0,19,0,5,0,5
usuarios-service,ec.edu.scli.usuarios.presentation.controller,UsuarioInstitucionalAdminController,11,6,0,0,2,3,2,1,2,1
usuarios-service,ec.edu.scli.usuarios.presentation.controller,InternalAdministradorController,25,9,4,0,4,4,4,1,2,1
usuarios-service,ec.edu.scli.usuarios.presentation.controller,PerfilController,47,75,2,4,16,17,6,7,4,6
usuarios-service,ec.edu.scli.usuarios.presentation.controller,DocenteController,23,96,1,7,2,29,2,10,1,7
usuarios-service,ec.edu.scli.usuarios.presentation.controller,ContextoAcademicoEstudianteController,39,11,0,0,6,4,6,2,6,2
usuarios-service,ec.edu.scli.usuarios.presentation.controller,InternalEstudianteController,130,18,12,0,12,3,12,1,6,1
usuarios-service,ec.edu.scli.usuarios.presentation.controller,InternalPerfilController,42,76,6,6,13,19,7,6,3,4
usuarios-service,ec.edu.scli.usuarios.presentation.controller,EstudianteController,0,47,0,0,0,19,0,5,0,5
usuarios-service,ec.edu.scli.usuarios.presentation.controller,InternalDocenteController,59,60,11,7,11,12,9,8,3,5
usuarios-service,ec.edu.scli.usuarios.presentation.controller,DocentePlanificacionController,1,107,3,7,0,30,3,8,0,6
usuarios-service,ec.edu.scli.usuarios.presentation.controller,AsociacionRolController,13,6,0,0,3,3,2,1,2,1
usuarios-service,ec.edu.scli.usuarios.domain.exception,ConflictException,0,4,0,0,0,2,0,1,0,1
usuarios-service,ec.edu.scli.usuarios.domain.exception,BusinessRuleException,0,4,0,0,0,2,0,1,0,1
usuarios-service,ec.edu.scli.usuarios.domain.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence.converter,CampoCifradoConverter,28,11,6,0,8,4,5,2,2,2
usuarios-service,ec.edu.scli.usuarios.infrastructure.persistence.specification,PerfilSpecification,0,202,2,17,0,63,2,18,0,10
