CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
3cc254b71af8   scli-prod-web-1                              0.00%     5.488MiB / 15.61GiB   0.03%     280kB / 1.04MB    6.75MB / 8.19kB   5
f3a67e7faad7   scli-prod-api-gateway-1                      0.13%     352.4MiB / 15.61GiB   2.20%     98MB / 385MB      6.4MB / 1.43MB    100
6f3089c4713d   scli-prod-reservas-solicitudes-service-1     0.18%     541.5MiB / 15.61GiB   3.39%     98.3MB / 272MB    44.3MB / 1.47MB   68
c7c86a0d6fde   scli-prod-usuarios-service-1                 0.12%     374.6MiB / 15.61GiB   2.34%     1.36MB / 12.4MB   6.85MB / 1.47MB   49
0576f3367c19   scli-prod-auth-service-1                     0.16%     460.8MiB / 15.61GiB   2.88%     6.34MB / 16MB     16.1MB / 1.52MB   54
3cb20fc11b9c   scli-prod-academico-laboratorios-service-1   0.13%     375.4MiB / 15.61GiB   2.35%     977kB / 11MB      8.77MB / 1.51MB   50
c0805c9ec749   scli-prod-grafana-1                          0.96%     60.62MiB / 15.61GiB   0.38%     9.59MB / 396kB    63.3MB / 52.7MB   14
2324092124cc   scli-prod-otel-collector-1                   0.52%     80.03MiB / 15.61GiB   0.50%     514MB / 84.7MB    27.1MB / 0B       11
495ee3ba8ca7   scli-prod-loki-1                             0.87%     138MiB / 15.61GiB     0.86%     10.7MB / 1.48MB   39.5MB / 55.8MB   11
2d83c1dc2d55   scli-prod-prometheus-1                       0.39%     61.81MiB / 15.61GiB   0.39%     297MB / 11MB      29MB / 52.8MB     10
69c324771ab1   scli-prod-cadvisor-1                         1.37%     49.81MiB / 15.61GiB   0.31%     1.09MB / 28.9MB   12.6MB / 0B       14
01661e648d22   scli-prod-tempo-1                            0.09%     210.5MiB / 15.61GiB   1.32%     58.6MB / 2.09MB   42.4MB / 221MB    10
f2dc97a92823   scli-cockroach-academico                     15.66%    690.2MiB / 15.61GiB   4.32%     3.02MB / 2.83MB   111MB / 3.16GB    16
c93632dac88b   reservas-db-node-3                           23.06%    1.003GiB / 15.61GiB   6.42%     1.45GB / 2.11GB   337MB / 16GB      17
4dc514e39488   reservas-db-node-2                           53.24%    871.9MiB / 15.61GiB   5.45%     1.68GB / 903MB    386MB / 16.3GB    32
259331a8e4eb   reservas-db-node-1                           16.58%    1.117GiB / 15.61GiB   7.15%     1.74GB / 1.84GB   378MB / 16.2GB    17
96900f6ec51b   scli-cockroach-auth                          8.98%     778.5MiB / 15.61GiB   4.87%     4.16MB / 7.41MB   117MB / 3.15GB    16
46fef70e501f   scli-cockroach-usuarios                      2.18%     918.6MiB / 15.61GiB   5.75%     2.55MB / 2.68MB   315MB / 2.53GB    13
