Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,7245,0,12,15.468372355570342,6.8618689983850345,438.66581200200017,105.0,24.269276701006294,0.0,12,13,14,15,19,29,64,93,210,440,440
POST,POST /api/v1/auth/login,50,0,5800,5030.960122699762,1499.4880560007005,7290.161431999877,2282.0,0.1674898323050814,0.0,5900,6100,6300,6400,6800,7100,7300,7300,7300,7300,7300
,Aggregated,7295,0,12,49.844600939149,6.8618689983850345,7290.161431999877,119.92117888965045,24.436766533311374,0.0,12,13,14,15,19,33,83,170,6600,7300,7300
