Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,66733,50043,6,12.532610207018488,2.9017849992669653,1429.8639579974406,385.34492679783614,18.544495027008583,13.906495506519871,6,10,12,13,19,31,65,110,430,1100,1400
GET,GET /api/v1/reservas/{id},22159,16740,6,12.407264222391612,2.9545549987233244,1476.2002319985186,274.1141748273839,6.157784983493672,4.651894066685504,6,9,11,13,18,30,64,110,500,1300,1500
POST,POST /api/v1/auth/login,50,0,14000.0,14295.31671284028,8917.781233001733,17831.06250700075,2282.0,0.013894546196790631,0.0,14000,15000,15000,16000,17000,17000,18000,18000,18000,18000,18000
,Aggregated,88942,66783,6,20.530650092093058,2.9017849992669653,17831.06250700075,358.69914101324457,24.71617455669905,18.558389573205375,6,10,12,13,19,31,66,110,750,16000,18000
