Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789085720,50,POST,POST /api/v1/auth/login,1.100000,0.000000,14000,15000,15000,15000,16000,16000,16000,16000,16000,16000,16000,20,0,13000.0,12989.516763049869,8917.781233001733,16295.783870999003,2282.0
1789085720,50,,Aggregated,2.300000,0.000000,33,220,12000,13000,15000,16000,16000,16000,16000,16000,16000,55,0,59,4756.410712127201,13.186134998250054,16295.783870999003,1400.0363636363636
1789085721,50,GET,GET /api/v1/reservas,1.900000,0.000000,25,34,44,48,100,190,220,220,220,220,220,61,0,26,45.70822642616819,13.186134998250054,223.15692999836756,990.0
1789085721,50,GET,GET /api/v1/reservas/{id},0.400000,0.000000,32,38,82,82,180,180,180,180,180,180,180,7,0,32,55.95482142910311,17.259739997825818,183.3845970031689,442.0
1789085721,50,POST,POST /api/v1/auth/login,1.500000,0.000000,15000,15000,16000,16000,17000,17000,18000,18000,18000,18000,18000,44,0,14000.0,14217.325850568484,8917.781233001733,17831.06250700075,2282.0
1789085721,50,,Aggregated,3.800000,0.000000,49,13000,14000,15000,16000,17000,17000,18000,18000,18000,18000,112,0,57,5613.769848098334,13.186134998250054,17831.06250700075,1463.3214285714287
1789085722,50,GET,GET /api/v1/reservas,2.400000,0.000000,25,40,54,80,100,190,220,220,220,220,220,78,0,26,48.68336346146698,12.526610000350047,223.15692999836756,990.0
1789085722,50,GET,GET /api/v1/reservas/{id},0.400000,0.000000,19,21,38,38,82,180,180,180,180,180,180,12,0,18,39.62800033332314,12.939385000208858,183.3845970031689,442.0
1789085722,50,POST,POST /api/v1/auth/login,1.900000,0.000000,15000,15000,16000,16000,17000,17000,18000,18000,18000,18000,18000,50,0,14000.0,14295.31671284028,8917.781233001733,17831.06250700075,2282.0
1789085722,50,,Aggregated,4.700000,0.000000,54,220,14000,14000,15000,17000,17000,17000,18000,18000,18000,140,0,59,5135.990528542916,12.526610000350047,17831.06250700075,1404.4571428571428
1789085723,50,GET,GET /api/v1/reservas,4.800000,0.000000,21,31,44,54,93,160,220,220,220,220,220,95,0,24,42.697374673642976,11.252652999246493,223.15692999836756,990.0
1789085723,50,GET,GET /api/v1/reservas/{id},0.700000,0.000000,17,18,20,21,38,82,180,180,180,180,180,22,0,17,27.703212317977556,10.430254998937016,183.3845970031689,442.0
1789085723,50,POST,POST /api/v1/auth/login,3.400000,0.000000,15000,15000,16000,16000,17000,17000,18000,18000,18000,18000,18000,50,0,14000.0,14295.31671284028,8917.781233001733,17831.06250700075,2282.0
1789085723,50,,Aggregated,8.900000,0.000000,31,93,13000,14000,15000,16000,17000,17000,18000,18000,18000,167,0,34,4307.9733946527285,10.430254998937016,17831.06250700075,1304.6347305389222
