reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T00:18:25.506688489Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-17","level":"ERROR","level_value":40000,"trace_id":"01510f8312176f7c9e63f847cb1b49f9","span_id":"2a95d593ac952667","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T00:18:51.068562989Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-70","level":"WARN","level_value":30000,"trace_id":"c1de318471cd5b7c0db43be32fd3071e","span_id":"764a47be5cc2aa87","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T00:18:51.066451339Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-51","level":"WARN","level_value":30000,"trace_id":"7e708fa00f325666bb374a4bd3fca00f","span_id":"e59bca6dcef41314","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T00:18:51.070062236Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-70","level":"ERROR","level_value":40000,"trace_id":"c1de318471cd5b7c0db43be32fd3071e","span_id":"764a47be5cc2aa87","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T00:18:51.073398674Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-51","level":"ERROR","level_value":40000,"trace_id":"7e708fa00f325666bb374a4bd3fca00f","span_id":"e59bca6dcef41314","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T00:18:51.09175918Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-69","level":"WARN","level_value":30000,"trace_id":"de58384fac109a09052beeba90db4f51","span_id":"88f21641287eac87","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T00:18:51.105064024Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-69","level":"ERROR","level_value":40000,"trace_id":"de58384fac109a09052beeba90db4f51","span_id":"88f21641287eac87","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T00:19:24.95252491Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-60","level":"WARN","level_value":30000,"trace_id":"4bf5f903095ab6849d28f7c87ff4eb99","span_id":"07efb5bee8e2a207","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T00:19:24.951358741Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-83","level":"WARN","level_value":30000,"trace_id":"19f90da871ac9ecca3155ad7420a2f4d","span_id":"ede6f01cbd62c7c3","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T00:19:24.955354913Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-83","level":"ERROR","level_value":40000,"trace_id":"19f90da871ac9ecca3155ad7420a2f4d","span_id":"ede6f01cbd62c7c3","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T00:19:24.955532696Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-60","level":"ERROR","level_value":40000,"trace_id":"4bf5f903095ab6849d28f7c87ff4eb99","span_id":"07efb5bee8e2a207","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T00:19:24.976370081Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-17","level":"WARN","level_value":30000,"trace_id":"74db67538bdbfced46c29b2961ce1486","span_id":"a139901b13056a0e","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T00:19:24.977629177Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-17","level":"ERROR","level_value":40000,"trace_id":"74db67538bdbfced46c29b2961ce1486","span_id":"a139901b13056a0e","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T00:19:24.985291919Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-64","level":"WARN","level_value":30000,"trace_id":"db579a06b57ec4c8b37a190c1b797358","span_id":"363c80d164a0a1be","service":"reservas-solicitudes-service"}
