CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
765ba75a975c   scli-prod-web-1                              0.00%     4.852MiB / 15.61GiB   0.03%     56.4kB / 54.1kB   5.18MB / 8.19kB   5
dd9a46833e65   scli-prod-api-gateway-1                      0.18%     317.7MiB / 15.61GiB   1.99%     1.69GB / 12.5GB   2.52MB / 18.4MB   91
7ce52895f310   scli-prod-academico-laboratorios-service-1   0.12%     396.7MiB / 15.61GiB   2.48%     12.4MB / 153MB    14.5MB / 18.4MB   51
7e64cc66503f   scli-prod-auth-service-1                     1.34%     479.6MiB / 15.61GiB   3.00%     24.3MB / 190MB    13.8MB / 18.4MB   53
3b386f0c9148   scli-prod-reservas-solicitudes-service-1     0.16%     637.3MiB / 15.61GiB   3.99%     575MB / 2.26GB    30.2MB / 18.4MB   49
ecddf365fe99   scli-prod-usuarios-service-1                 0.11%     388.1MiB / 15.61GiB   2.43%     11.5MB / 156MB    8.27MB / 18.3MB   51
c0805c9ec749   scli-prod-grafana-1                          0.10%     79.07MiB / 15.61GiB   0.49%     1.73MB / 1.35MB   256MB / 46.7MB    15
2324092124cc   scli-prod-otel-collector-1                   1.76%     76.94MiB / 15.61GiB   0.48%     12.6GB / 806MB    101MB / 0B        11
495ee3ba8ca7   scli-prod-loki-1                             0.60%     120.5MiB / 15.61GiB   0.75%     48.9MB / 6.47MB   127MB / 309MB     11
2d83c1dc2d55   scli-prod-prometheus-1                       0.04%     76.36MiB / 15.61GiB   0.48%     1.58GB / 44.6MB   329MB / 391MB     10
69c324771ab1   scli-prod-cadvisor-1                         1.83%     59.83MiB / 15.61GiB   0.37%     3.99MB / 109MB    45.1MB / 0B       14
01661e648d22   scli-prod-tempo-1                            0.06%     244.6MiB / 15.61GiB   1.53%     657MB / 10.1MB    409MB / 4.15GB    14
f2dc97a92823   scli-cockroach-academico                     20.92%    1.134GiB / 15.61GiB   7.27%     10.6MB / 9.29MB   2.4GB / 17.5GB    17
c93632dac88b   reservas-db-node-3                           16.98%    1.557GiB / 15.61GiB   9.98%     3.6GB / 2.78GB    3.82GB / 51.3GB   20
4dc514e39488   reservas-db-node-2                           17.23%    1.295GiB / 15.61GiB   8.29%     3.52GB / 3.07GB   2.6GB / 51.4GB    19
259331a8e4eb   reservas-db-node-1                           18.27%    1.563GiB / 15.61GiB   10.01%    3.82GB / 5.13GB   3.56GB / 51.3GB   19
96900f6ec51b   scli-cockroach-auth                          97.65%    992MiB / 15.61GiB     6.21%     12.9MB / 21.8MB   2.49GB / 17.9GB   17
46fef70e501f   scli-cockroach-usuarios                      25.67%    1.009GiB / 15.61GiB   6.47%     8.14MB / 8.24MB   1.9GB / 12.8GB    14
