reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:08.877183583Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-160","level":"WARN","level_value":30000,"trace_id":"a1d9bd565b1ce0c3e3d3bcdf9b6a09ea","span_id":"225e66308554694a","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:08.90176858Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-160","level":"ERROR","level_value":40000,"trace_id":"a1d9bd565b1ce0c3e3d3bcdf9b6a09ea","span_id":"225e66308554694a","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:08.854065949Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-144","level":"ERROR","level_value":40000,"trace_id":"5aeb647bb2fe85412ec7df054f93c2b4","span_id":"f7b7a28b5a13e6c2","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:08.93863497Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-161","level":"WARN","level_value":30000,"trace_id":"a04c6ff49b376ae33cc2901afb9a1b2b","span_id":"c806a0b832b6c4b8","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:08.939173165Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-161","level":"ERROR","level_value":40000,"trace_id":"a04c6ff49b376ae33cc2901afb9a1b2b","span_id":"c806a0b832b6c4b8","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:09.972406239Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-161","level":"WARN","level_value":30000,"trace_id":"a1d6532fec2a536764f52ecd0a799e77","span_id":"863d3d4f34ca565a","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:09.966946021Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-160","level":"WARN","level_value":30000,"trace_id":"a6d8b187839769824854710bee932318","span_id":"fab58606ab6f42cc","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:09.975133716Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-161","level":"ERROR","level_value":40000,"trace_id":"a1d6532fec2a536764f52ecd0a799e77","span_id":"863d3d4f34ca565a","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:09.98023914Z","@version":"1","message":"SQL Error: 0, SQLState: XXC02","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-152","level":"WARN","level_value":30000,"trace_id":"dc169f796f2af29ef17e1289211b34e0","span_id":"a63455fc5762a616","service":"reservas-solicitudes-service"}
reservas-solicitudes-service-1  | {"@timestamp":"2026-09-11T07:07:09.973816485Z","@version":"1","message":"ERROR: No license installed. The maximum number of concurrently open transactions has been reached.\n  Hint: Obtain and install a valid license to continue.","logger_name":"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","thread_name":"http-nio-8084-exec-160","level":"ERROR","level_value":40000,"trace_id":"a6d8b187839769824854710bee932318","span_id":"fab58606ab6f42cc","service":"reservas-solicitudes-service"}
