Method,Name,Error,Occurrences
GET,GET /api/v1/reservas/{id},"CatchResponseError('HTTP esperado 200, recibido 500')",27
GET,GET /api/v1/reservas,"CatchResponseError('HTTP esperado 200, recibido 500')",99
GET,GET /api/v1/reservas/{id},"CatchResponseError('HTTP esperado 200, recibido 401')",16631
GET,GET /api/v1/reservas,"CatchResponseError('HTTP esperado 200, recibido 401')",50324
