Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,66882,50423,6,13.767559990691707,2.9584829972009175,2298.3578060011496,382.0709607966269,18.580898673490157,14.00832292415589,6,9,12,13,19,29,58,110,910,1900,2300
GET,GET /api/v1/reservas/{id},22183,16658,6,14.602199877142947,2.8820769948652014,2696.2371789995814,275.3446332777352,6.162795300290544,4.627861159998191,6,9,11,13,18,28,58,120,1100,2500,2700
POST,POST /api/v1/auth/login,50,0,12000.0,11818.56585816058,8116.316476000065,14713.302935000684,2282.0,0.013890806699478302,0.0,12000,13000,13000,13000,14000,14000,15000,15000,15000,15000,15000
,Aggregated,89115,67081,6,20.59867407372667,2.8820769948652014,14713.302935000684,356.5700499354766,24.75758478048018,18.63618408415408,6,9,12,13,19,29,59,120,1400,13000,15000
