Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,7180,0,11,13.520228207250858,8.038993000809569,151.17576199918403,105.0,24.105912084888235,0.0,11,13,14,15,19,24,31,40,85,150,150
POST,POST /api/v1/auth/login,50,0,7900.0,7445.405693040158,3559.3337580030493,9492.727348999324,2086.0,0.1678684685577175,0.0,7900,8100,8300,8800,9200,9400,9500,9500,9500,9500,9500
,Aggregated,7230,0,12,64.9163932475895,8.038993000809569,9492.727348999324,118.69986168741356,24.273780553445953,0.0,12,13,14,15,19,25,36,53,8900,9500,9500
