CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
3cc254b71af8   scli-prod-web-1                              0.00%     5.488MiB / 15.61GiB   0.03%     283kB / 1.04MB    6.75MB / 8.19kB   5
f3a67e7faad7   scli-prod-api-gateway-1                      2.25%     353.9MiB / 15.61GiB   2.21%     167MB / 656MB     6.49MB / 2.15MB   99
6f3089c4713d   scli-prod-reservas-solicitudes-service-1     0.19%     543.9MiB / 15.61GiB   3.40%     167MB / 464MB     44.3MB / 2.19MB   68
c7c86a0d6fde   scli-prod-usuarios-service-1                 0.23%     378.1MiB / 15.61GiB   2.37%     2.14MB / 19.3MB   6.92MB / 2.17MB   49
0576f3367c19   scli-prod-auth-service-1                     0.16%     465.4MiB / 15.61GiB   2.91%     10.7MB / 25MB     16.3MB / 2.23MB   56
3cb20fc11b9c   scli-prod-academico-laboratorios-service-1   0.16%     376.9MiB / 15.61GiB   2.36%     1.39MB / 16.4MB   8.84MB / 2.21MB   50
c0805c9ec749   scli-prod-grafana-1                          0.19%     62.73MiB / 15.61GiB   0.39%     9.63MB / 433kB    65.7MB / 53.9MB   14
2324092124cc   scli-prod-otel-collector-1                   6.21%     70.73MiB / 15.61GiB   0.44%     833MB / 126MB     28.5MB / 0B       11
495ee3ba8ca7   scli-prod-loki-1                             1.17%     133.7MiB / 15.61GiB   0.84%     15.1MB / 1.87MB   40.6MB / 81.5MB   11
2d83c1dc2d55   scli-prod-prometheus-1                       0.00%     61.41MiB / 15.61GiB   0.38%     339MB / 12.2MB    34.4MB / 67.2MB   10
69c324771ab1   scli-prod-cadvisor-1                         2.13%     51.55MiB / 15.61GiB   0.32%     1.19MB / 31.9MB   13MB / 0B         14
01661e648d22   scli-prod-tempo-1                            1.44%     273.1MiB / 15.61GiB   1.71%     91.5MB / 2.47MB   119MB / 608MB     11
f2dc97a92823   scli-cockroach-academico                     10.09%    701.8MiB / 15.61GiB   4.39%     3.29MB / 3.05MB   122MB / 3.48GB    16
c93632dac88b   reservas-db-node-3                           17.15%    1011MiB / 15.61GiB    6.32%     1.53GB / 2.23GB   392MB / 17GB      17
4dc514e39488   reservas-db-node-2                           10.21%    766.8MiB / 15.61GiB   4.80%     1.78GB / 963MB    441MB / 17.3GB    17
259331a8e4eb   reservas-db-node-1                           10.04%    1.086GiB / 15.61GiB   6.95%     1.87GB / 1.97GB   429MB / 17.1GB    17
96900f6ec51b   scli-cockroach-auth                          9.33%     756.4MiB / 15.61GiB   4.73%     5.49MB / 11.2MB   117MB / 3.46GB    16
46fef70e501f   scli-cockroach-usuarios                      82.24%    887.5MiB / 15.61GiB   5.55%     3.05MB / 3.1MB    337MB / 2.78GB    13
