Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,7292,26,12,18.963184392361143,7.27249899864546,556.7467189976014,105.17827756445419,24.34034933801052,0.08678676395889653,12,13,15,16,23,40,110,190,440,560,560
POST,POST /api/v1/auth/login,50,0,4300,4169.725266020032,1329.982965002273,5976.585606000299,2282.0,0.16689762299787794,0.0,4400,4800,5100,5300,5900,5900,6000,6000,6000,6000,6000
,Aggregated,7342,26,12,47.23042820622432,7.27249899864546,5976.585606000299,120.00272405339145,24.5072469610084,0.08678676395889653,12,13,15,16,24,48,150,310,5600,6000,6000
