run_id,scenario,strategy,repetition,excluded_from_analysis,valid,requests,latency_ms,double_allocation_rate,unnecessary_rejections,jain_users,jain_equipment,recovery_ms
esc2-s4-r06-5f15327e,esc2,s4,6,False,True,50,233.27945201999998,0.0,0,1.0,1.0,
esc2-s4-r07-1e890a62,esc2,s4,7,False,True,50,744.40644652,0.0,0,1.0,1.0,
esc2-s4-r08-fd9f79a8,esc2,s4,8,False,True,50,255.27125184,0.0,0,1.0,1.0,
esc2-s4-r09-3adad2bc,esc2,s4,9,False,True,50,1017.3244515800001,0.0,0,1.0,1.0,
esc2-s4-r10-d572b8dc,esc2,s4,10,True,True,50,199.19029066,0.0,0,1.0,1.0,
esc3-s0-r01-de01acc0,esc3,s0,1,True,True,200,652.167236165,1.0,0,1.0,1.0,
esc3-s0-r02-ad1d1f0a,esc3,s0,2,False,True,200,1458.708344815,1.0,0,1.0,1.0,
esc3-s0-r03-455d86ff,esc3,s0,3,False,True,200,1072.96568732,1.0,0,1.0,1.0,
esc3-s0-r04-2f51e6db,esc3,s0,4,False,True,200,1866.5704908100001,1.0,0,1.0,1.0,
esc3-s0-r05-5002dc63,esc3,s0,5,False,True,200,590.6428115599999,1.0,0,1.0,1.0,
esc3-s0-r06-9cbda72f,esc3,s0,6,False,True,200,1280.21466296,1.0,0,1.0,1.0,
esc3-s0-r07-398efbf2,esc3,s0,7,False,True,200,598.22641553,1.0,0,1.0,1.0,
esc3-s0-r08-f4539e9e,esc3,s0,8,False,True,200,1770.0440964299999,1.0,0,1.0,1.0,
esc3-s0-r09-4e05c4e0,esc3,s0,9,False,True,200,593.63131407,1.0,0,1.0,1.0,
esc3-s0-r10-1047f86c,esc3,s0,10,True,True,200,1887.483498155,1.0,0,1.0,1.0,
esc3-s1-r01-b83210ea,esc3,s1,1,True,True,200,2968.67271149,0.0,0,1.0,1.0,
esc3-s1-r02-25ab33fd,esc3,s1,2,False,True,200,2246.06302818,0.0,0,1.0,1.0,
esc3-s1-r03-4fe884f5,esc3,s1,3,False,True,200,1991.6642923099998,0.0,0,1.0,1.0,
esc3-s1-r04-17524190,esc3,s1,4,False,True,200,2354.761936725,0.0,0,1.0,1.0,
esc3-s1-r05-81662a93,esc3,s1,5,False,True,200,5073.853464825,0.0,0,1.0,1.0,
esc3-s1-r06-b80d4343,esc3,s1,6,False,True,200,3415.283378125,0.0,0,1.0,1.0,
esc3-s1-r07-ba73fa9b,esc3,s1,7,False,True,200,2560.80433522,0.0,0,1.0,1.0,
esc3-s1-r08-ca2eb083,esc3,s1,8,False,True,200,2405.19182102,0.0,0,1.0,1.0,
esc3-s1-r09-79816fb1,esc3,s1,9,False,True,200,1919.09251655,0.0,0,1.0,1.0,
esc3-s1-r10-2a0c54b3,esc3,s1,10,True,True,200,2434.191771915,0.0,0,1.0,1.0,
esc3-s2-r01-7035d3cb,esc3,s2,1,True,True,200,1983.073191645,0.0,0,1.0,1.0,
esc3-s2-r02-f7c988d0,esc3,s2,2,False,True,200,2526.225877875,0.0,0,1.0,1.0,
esc3-s2-r03-6d0d9f50,esc3,s2,3,False,True,200,2614.47438029,0.0,0,1.0,1.0,
esc3-s2-r04-7e457693,esc3,s2,4,False,True,200,2331.899245715,0.0,0,1.0,1.0,
esc3-s2-r05-75149102,esc3,s2,5,False,True,200,3365.310514765,0.0,0,1.0,1.0,
esc3-s2-r06-00b2ed3f,esc3,s2,6,False,True,200,2278.958002205,0.0,0,1.0,1.0,
esc3-s2-r07-13cafc65,esc3,s2,7,False,True,200,1830.401603325,0.0,0,1.0,1.0,
esc3-s2-r08-cf5a9637,esc3,s2,8,False,True,200,2573.69978236,0.0,0,1.0,1.0,
esc3-s2-r09-9086ec18,esc3,s2,9,False,True,200,3115.215425945,0.0,0,1.0,1.0,
esc3-s2-r10-7890651f,esc3,s2,10,True,True,200,2193.3225596499997,0.0,0,1.0,1.0,
esc3-s3-r01-7ccf350d,esc3,s3,1,True,True,200,3309.91852044,0.0,0,1.0,1.0,
esc3-s3-r02-6b419947,esc3,s3,2,False,True,200,3151.0681735149997,0.0,0,1.0,1.0,
esc3-s3-r03-c26e45ba,esc3,s3,3,False,True,200,2242.23589858,0.0,0,1.0,1.0,
esc3-s3-r04-43835adf,esc3,s3,4,False,True,200,6673.2764554099995,0.0,0,1.0,1.0,
esc3-s3-r05-a7a36b2f,esc3,s3,5,False,True,200,2591.91107522,0.0,0,1.0,1.0,
esc3-s3-r06-9899308a,esc3,s3,6,False,True,200,2967.09880229,0.0,0,1.0,1.0,
esc3-s3-r07-8b75fd9a,esc3,s3,7,False,True,200,2863.2604668199997,0.0,0,1.0,1.0,
esc3-s3-r08-f11f191a,esc3,s3,8,False,True,200,2573.679862075,0.0,0,1.0,1.0,
esc3-s3-r09-3b59f4a4,esc3,s3,9,False,True,200,3193.49378836,0.0,0,1.0,1.0,
esc3-s3-r10-5729e0da,esc3,s3,10,True,True,200,2697.560891915,0.0,0,1.0,1.0,
esc3-s4-r01-d2790eca,esc3,s4,1,True,True,200,1998.5102966999998,0.0,0,1.0,1.0,
esc3-s4-r02-b962059e,esc3,s4,2,False,True,200,986.85690493,0.0,0,1.0,1.0,
esc3-s4-r03-0c138fa7,esc3,s4,3,False,True,200,2895.1841556649997,0.0,0,1.0,1.0,
