Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,7209,0,11,15.383477814267913,8.078622999164509,435.7533729998977,105.0,24.190143348568103,0.0,11,13,14,16,21,31,60,85,250,440,440
POST,POST /api/v1/auth/login,50,0,7900.0,7095.5008824799015,2478.616696997051,9950.049961000332,2086.0,0.16777738485620824,0.0,8000,8300,8500,8600,9200,9300,10000,10000,10000,10000,10000
,Aggregated,7259,0,11,64.15133430046194,8.078622999164509,9950.049961000332,118.64513018322083,24.35792073342431,0.0,11,13,15,16,22,34,73,150,9100,10000,10000
