CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
3cc254b71af8   scli-prod-web-1                              3.72%     5.5MiB / 15.61GiB     0.03%     282kB / 1.04MB    6.75MB / 8.19kB   5
f3a67e7faad7   scli-prod-api-gateway-1                      0.14%     353.1MiB / 15.61GiB   2.21%     139MB / 548MB     6.49MB / 1.86MB   97
6f3089c4713d   scli-prod-reservas-solicitudes-service-1     0.16%     542.3MiB / 15.61GiB   3.39%     140MB / 387MB     44.3MB / 1.9MB    67
c7c86a0d6fde   scli-prod-usuarios-service-1                 0.16%     377.6MiB / 15.61GiB   2.36%     1.83MB / 16.6MB   6.85MB / 1.89MB   49
0576f3367c19   scli-prod-auth-service-1                     0.35%     464.4MiB / 15.61GiB   2.90%     9.11MB / 21.5MB   16.2MB / 1.95MB   55
3cb20fc11b9c   scli-prod-academico-laboratorios-service-1   2.67%     376.8MiB / 15.61GiB   2.36%     1.23MB / 14.3MB   8.81MB / 1.93MB   50
c0805c9ec749   scli-prod-grafana-1                          0.06%     61.51MiB / 15.61GiB   0.38%     9.62MB / 419kB    64.5MB / 53.4MB   14
2324092124cc   scli-prod-otel-collector-1                   0.82%     71.13MiB / 15.61GiB   0.44%     706MB / 109MB     27.7MB / 0B       11
495ee3ba8ca7   scli-prod-loki-1                             0.92%     129.8MiB / 15.61GiB   0.81%     13.4MB / 1.72MB   40.2MB / 72.1MB   11
2d83c1dc2d55   scli-prod-prometheus-1                       0.19%     102MiB / 15.61GiB     0.64%     322MB / 11.7MB    34MB / 65.2MB     10
69c324771ab1   scli-prod-cadvisor-1                         2.41%     53.46MiB / 15.61GiB   0.33%     1.15MB / 30.7MB   13MB / 0B         14
01661e648d22   scli-prod-tempo-1                            0.37%     259.9MiB / 15.61GiB   1.63%     78.4MB / 2.32MB   119MB / 573MB     10
f2dc97a92823   scli-cockroach-academico                     9.61%     687.7MiB / 15.61GiB   4.30%     3.19MB / 2.97MB   122MB / 3.37GB    16
c93632dac88b   reservas-db-node-3                           17.05%    1.033GiB / 15.61GiB   6.62%     1.5GB / 2.18GB    389MB / 16.6GB    17
4dc514e39488   reservas-db-node-2                           10.64%    816MiB / 15.61GiB     5.10%     1.74GB / 939MB    438MB / 16.9GB    17
259331a8e4eb   reservas-db-node-1                           9.83%     1.117GiB / 15.61GiB   7.15%     1.82GB / 1.92GB   427MB / 16.8GB    17
96900f6ec51b   scli-cockroach-auth                          66.95%    732.7MiB / 15.61GiB   4.58%     5MB / 9.81MB      117MB / 3.34GB    16
46fef70e501f   scli-cockroach-usuarios                      2.77%     651.3MiB / 15.61GiB   4.07%     2.85MB / 2.94MB   320MB / 2.66GB    13
