Method,Name,Error,Occurrences
GET,GET /api/v1/reservas/{id},"CatchResponseError('HTTP esperado 200, recibido 500')",11
GET,GET /api/v1/reservas,"CatchResponseError('HTTP esperado 200, recibido 500')",28
GET,GET /api/v1/reservas/{id},"CatchResponseError('HTTP esperado 200, recibido 401')",16594
GET,GET /api/v1/reservas,"CatchResponseError('HTTP esperado 200, recibido 401')",50244
