CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
765ba75a975c   scli-prod-web-1                              0.00%     9.566MiB / 15.61GiB   0.06%     19.9kB / 16.9kB   5.18MB / 8.19kB   5
dd9a46833e65   scli-prod-api-gateway-1                      0.16%     315MiB / 15.61GiB     1.97%     565MB / 4.29GB    991kB / 6.79MB    91
7ce52895f310   scli-prod-academico-laboratorios-service-1   0.20%     406.2MiB / 15.61GiB   2.54%     4.59MB / 56MB     14.1MB / 6.84MB   51
7e64cc66503f   scli-prod-auth-service-1                     0.14%     475.3MiB / 15.61GiB   2.97%     8.56MB / 67.2MB   13.5MB / 6.9MB    54
3b386f0c9148   scli-prod-reservas-solicitudes-service-1     0.18%     642.9MiB / 15.61GiB   4.02%     176MB / 698MB     29.3MB / 6.83MB   50
ecddf365fe99   scli-prod-usuarios-service-1                 0.15%     386.2MiB / 15.61GiB   2.42%     4.27MB / 56.8MB   8.23MB / 6.82MB   51
c0805c9ec749   scli-prod-grafana-1                          0.05%     85.13MiB / 15.61GiB   0.53%     895kB / 683kB     219MB / 23.9MB    15
2324092124cc   scli-prod-otel-collector-1                   0.49%     77.97MiB / 15.61GiB   0.49%     4.59GB / 309MB    100MB / 0B        11
495ee3ba8ca7   scli-prod-loki-1                             0.87%     107.5MiB / 15.61GiB   0.67%     20.8MB / 2.99MB   119MB / 131MB     11
2d83c1dc2d55   scli-prod-prometheus-1                       0.00%     71.92MiB / 15.61GiB   0.45%     707MB / 21.9MB    251MB / 224MB     10
69c324771ab1   scli-prod-cadvisor-1                         2.55%     58.32MiB / 15.61GiB   0.36%     2.04MB / 54.7MB   41MB / 0B         13
01661e648d22   scli-prod-tempo-1                            0.09%     262.2MiB / 15.61GiB   1.64%     245MB / 4.59MB    102MB / 1.52GB    14
f2dc97a92823   scli-cockroach-academico                     9.91%     1.215GiB / 15.61GiB   7.78%     5.31MB / 4.78MB   785MB / 8.52GB    17
c93632dac88b   reservas-db-node-3                           18.61%    1.351GiB / 15.61GiB   8.66%     1.83GB / 1.42GB   1.54GB / 24.8GB   20
4dc514e39488   reservas-db-node-2                           19.10%    1.327GiB / 15.61GiB   8.50%     1.79GB / 1.56GB   1.23GB / 25.4GB   19
259331a8e4eb   reservas-db-node-1                           123.40%   1.221GiB / 15.61GiB   7.82%     1.92GB / 2.58GB   1.46GB / 25GB     19
96900f6ec51b   scli-cockroach-auth                          9.98%     1.171GiB / 15.61GiB   7.50%     6.14MB / 9.66MB   942MB / 8.87GB    17
46fef70e501f   scli-cockroach-usuarios                      2.91%     845.1MiB / 15.61GiB   5.29%     4.06MB / 4.17MB   1.15GB / 6.34GB   14
